Ref,Val,Package,PosX,PosY,Rot,Side
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-94.234000,-75.793600,180.000000,bottom
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-94.234000,-77.876400,0.000000,bottom
"C1","22u","C_1210_3225Metric",117.398800,-59.944000,90.000000,top
"C2","22u","C_1210_3225Metric",114.401600,-70.408800,0.000000,top
"C3","22u","C_1210_3225Metric",106.959400,-58.902600,90.000000,top
"C4","100n","C_0402_1005Metric",104.851200,-59.585800,90.000000,top
"C5","2u2","C_1206_3216Metric",106.857800,-62.611000,0.000000,top
"C6","22u","C_1210_3225Metric",98.475800,-61.137800,90.000000,top
"C7","100n","C_0402_1005Metric",98.475800,-64.462600,-90.000000,top
"C8","22u","C_1210_3225Metric",97.331000,-57.124600,0.000000,top
"C9","22u","C_1210_3225Metric",108.864400,-74.016400,-90.000000,top
"C10","100n","C_0402_1005Metric",106.502200,-72.640400,-90.000000,top
"C11","10n","C_0402_1005Metric",106.273000,-65.074800,180.000000,top
"C12","2u2","C_1206_3216Metric",105.638600,-67.767200,180.000000,top
"C13","100n","C_0402_1005Metric",99.311400,-71.628000,180.000000,top
"C14","100n","C_0402_1005Metric",102.133400,-73.759000,90.000000,top
"C15","22u","C_1210_3225Metric",104.292400,-75.106000,90.000000,top
"C16","22u","C_1210_3225Metric",93.599000,-67.388000,-90.000000,top
"C17","22u","C_1210_3225Metric",86.561400,-56.896000,0.000000,top
"C18","22u","C_1206_3216Metric",80.645000,-65.120400,-90.000000,top
"C19","22u","C_1210_3225Metric",85.801200,-60.885600,90.000000,top
"C20","10n","C_0402_1005Metric",83.997800,-63.830200,0.000000,top
"C21","22u","C_1210_3225Metric",89.027000,-60.883800,90.000000,top
"C22","22u","C_1210_3225Metric",85.394800,-67.589400,90.000000,top
"C23","22u","C_1206_3216Metric",80.543400,-78.564000,-90.000000,top
"C24","22u","C_1210_3225Metric",84.848700,-78.270100,0.000000,top
"C25","10n","C_0402_1005Metric",85.460900,-76.187300,0.000000,top
"C26","22u","C_1210_3225Metric",85.445600,-73.357000,90.000000,top
"D1","P6SMB20A","D_SMB",115.570000,-66.497200,180.000000,top
"FB1","600Ω@100MHz","R_0805_2012Metric",95.834200,-61.770900,90.000000,top
"FB2","600Ω@100MHz","R_0805_2012Metric",96.924500,-68.961000,180.000000,top
"L1","47u","L_Coilcraft_XAL60xx_6.36x6.56mm",97.053400,-75.578400,90.000000,top
"R1","2M2","R_0402_1005Metric",109.118400,-59.760400,-90.000000,top
"R2","300k","R_0402_1005Metric",109.118400,-57.859200,-90.000000,top
"R3","499k 1%","R_0402_1005Metric",103.098600,-64.363600,-90.000000,top
"R4","47k 1%","R_0402_1005Metric",104.063800,-64.363600,90.000000,top
"R5","3M32","R_0402_1005Metric",106.957400,-71.221600,180.000000,top
"R6","430k","R_0402_1005Metric",108.837000,-71.221600,180.000000,top
"R7","6k81","R_0402_1005Metric",106.301000,-66.040000,0.000000,top
"R8","19k1 1%","R_0402_1005Metric",101.293200,-67.411600,180.000000,top
"R9","1k78 1%","R_0402_1005Metric",101.295200,-68.427600,0.000000,top
"R10","100k 1%","R_0603_1608Metric",79.883000,-62.052200,180.000000,top
"R11","1k","R_0402_1005Metric",86.868000,-63.830200,0.000000,top
"R12","100k 1%","R_0603_1608Metric",79.717400,-75.514200,180.000000,top
"R13","1k","R_0402_1005Metric",89.511600,-79.883000,0.000000,top
"U1","LM2940-SOT223-15","SOT-223",114.935000,-76.555600,-90.000000,top
"U2","MAXM15068AMB+","10-eMGA (3x2.6)",102.311200,-61.491600,0.000000,top
"U3","MAX17579ATC+","21-0664_TD1233&plus_1C_MXM",103.581200,-70.811600,180.000000,top
"U4","LT3045xMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",81.894000,-57.912000,-90.000000,top
"U5","LT3094xMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",81.483200,-71.615300,-90.000000,top
