Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.844000,-68.783200,0.000000,bottom
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.844000,-70.866000,180.000000,bottom
C1,22u,C_1210_3225Metric,98.042200,-66.598800,180.000000,top
C2,22u,C_1210_3225Metric,117.398800,-59.944000,90.000000,top
C3,4u7,C_1206_3216Metric,98.298000,-71.120000,-90.000000,top
C4,10u,C_0603_1608Metric,110.388400,-75.031600,-90.000000,top
C5,100n,C_0402_1005Metric,106.680000,-66.665600,90.000000,top
C6,150p,C_0402_1005Metric,108.254800,-69.002400,90.000000,top
C7,22u,C_1210_3225Metric,95.453200,-70.561200,90.000000,top
C8,22u,C_1210_3225Metric,114.401600,-70.408800,0.000000,top
C9,10n,C_0402_1005Metric,93.065600,-71.757600,90.000000,top
C10,4u7,C_1206_3216Metric,103.479600,-62.382400,90.000000,top
C11,22u,C_1210_3225Metric,106.553000,-73.025000,0.000000,top
C12,150p,C_0402_1005Metric,108.254800,-64.379600,-90.000000,top
C13,22u,C_1210_3225Metric,94.335600,-60.807600,-90.000000,top
C14,10n,C_0402_1005Metric,95.453200,-56.286400,90.000000,top
C15,22u,C_1210_3225Metric,80.645000,-79.248000,180.000000,top
C16,22u,C_1210_3225Metric,81.127600,-64.174700,90.000000,top
C17,22u,C_1206_3216Metric,87.885800,-55.803800,0.000000,top
C18,22u,C_1206_3216Metric,85.090000,-67.360800,90.000000,top
C19,22u,C_1210_3225Metric,81.583000,-68.122800,180.000000,top
C20,22u,C_1210_3225Metric,81.661000,-55.626000,180.000000,top
C21,10n,C_0402_1005Metric,81.229200,-70.358000,180.000000,top
C22,22u,C_1210_3225Metric,89.027000,-62.580200,90.000000,top
C23,10n,C_0402_1005Metric,81.048800,-57.708800,180.000000,top
C24,22u,C_1210_3225Metric,85.344000,-79.248000,180.000000,top
D1,P6SMB20A,D_SMB,115.570000,-66.497200,180.000000,top
D2,D_Schottky,D_PowerDI-123,96.977200,-74.828400,0.000000,top
D3,D_Schottky,D_PowerDI-123,104.851200,-58.674000,180.000000,top
J3,RFShield_Clip,S0971-46R,111.250000,-66.500000,90.000000,top
J4,RFShield_Clip,S0971-46R,100.500000,-80.000000,0.000000,top
J5,RFShield_Clip,S0971-46R,91.250000,-58.250000,90.000000,top
J6,RFShield_Clip,S0971-46R,106.500000,-55.000000,0.000000,top
L1,10u,L_Vishay_IHLP-1616,101.854000,-71.526400,90.000000,top
L2,10u,L_Vishay_IHLP-1616,102.666800,-77.012800,180.000000,top
L3,10u,L_Vishay_IHLP-1616,99.136200,-62.509400,0.000000,top
L4,10u,L_Vishay_IHLP-1616,99.136200,-57.810400,180.000000,top
R1,20k,R_0402_1005Metric,110.388400,-72.491600,-90.000000,top
R2,2k,R_0402_1005Metric,109.524800,-67.681600,90.000000,top
R3,20k,R_0402_1005Metric,107.289600,-69.004400,-90.000000,top
R4,2k,R_0402_1005Metric,109.524800,-64.887600,90.000000,top
R5,DNP,R_0402_1005Metric,108.204000,-66.665600,90.000000,top
R6,22k,R_0402_1005Metric,107.289600,-64.379600,90.000000,top
R7,100k 1%,R_0603_1608Metric,87.516200,-57.727000,0.000000,top
R8,100k 1%,R_0603_1608Metric,85.760000,-70.429000,0.000000,top
R9,1k,R_0603_1608Metric,92.202000,-68.389000,-90.000000,top
R10,1k,R_0603_1608Metric,92.329000,-74.676000,90.000000,top
U1,LM2940-SOT223-15,SOT-223,114.935000,-76.555600,90.000000,top
U2,LT3471,DFN-10-1EP_3x3mm_P0.5mm_EP1.65x2.38mm,103.327200,-66.649600,90.000000,top
U3,LT3045xMSE,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,83.841000,-74.366000,90.000000,top
U4,LT3094xMSE,MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm,85.026500,-61.607700,90.000000,top
